Company Name,Job Name,Job Location,Job Description,Salary,Rating,Company Size,Company Type,Company Sector,Year Founded,Company Industry,Company Revenue
ManTech International Corporation,Junior Data Scientist/Engineer,"Sterling, VA","Where applicable, confirmation that you meet customer requirements for facility access which may include proof of vaccination and/or attestation and testing, unless an accommodation has been approved.
Secure our Nation, Ignite your Future
For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on either verifying U.S.-person status or obtaining any necessary license. The applicant will be required to answer certain questions for export control purposes, and that information will be reviewed by compliance personnel to ensure compliance with federal law. ManTech may choose not to apply for a license for such individuals whose access to export-controlled technology or software source code may require authorization and may decline to proceed with an applicant on that basis alone.
ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.
If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.
If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",$78K - $151K (Glassdoor est.),4.1,5001 to 10000 Employees,Company - Public,Management & Consulting,1968,Research & Development,$1 to $2 billion (USD)
Innovative Precision Health,Senior Data Scientist,Remote,"Job Responsibilities:
Project Delivery (70 - 85%)
Consult clients to define and refine business objectives towards data-driven decision problems
Research internal & external tools & methodologies to develop AIML solution concepts for client problem briefs..
Work with client & IPH team to rapidly prototype innovative AIML solutions including: data & requirements gathering, technological scoping and architecture, code implementation, insights delivery and recommendations.
Work with cross-functional client & IPH team to scale AIML solutions to production systems.
Strong communication skills to effectively translate complex analytical models into recommendations for business partners.
Mentoring junior Data Scientists on technical skills & career progression.
Building & teaching an AIML skill specialization for the Healthcare practice.
Gathering project learnings and developing them into repeatable / reusable assets & IP for the AIML & Healthcare team
Supporting AIML team growth through interviewing, networking, and industry representation.
Requirements:
Strong programing skills in at least one numerical computing language: R/Python.
Strong experience in building Machine learning (ML) models and experience in deploying solutions in big data production systems on cloud.
Working understanding in areas of machine learning methods and traditional statistical analysis, Bayesian modeling, traditional ML, Deep Learning, RL and optimization
Working knowledge of coding best practices – version control, code linting, unit testing, etc.
Working knowledge of AWS Cloud environments.
Ability to understand and work with large disparate data sets and transform the information into clear insights for the business.
Intellectual agility & stamina – ability to learn adjacent technical skills quickly and continuously, ability to give and use constructive feedback effectively.
Scientific temperament – ability to research, build & verify hypotheses / mental models about technical & organizational problems that need to be solved.
Experience in efficiently deploying AI/ML solutions in big data production systems on premise or AWS Cloud with consideration of resource utilization and costs
Experience with API infrastructure design, automated data processing and aggregation
Ability to design and manage noSQL data architecture according to business needs
Experience & Education:
5 or more years of demonstrated experience in driving real-world value by solving problems requiring complex quantitative reasoning using data & modeling techniques.
Graduate/under-graduate degree in any of the quantitatively rich disciplines such as Computer Science / Mathematics / Physics / Operations Research
Mandatory Skills:
AWS,
Machine Learning,
Neural Network,
SQL, Python, Linux OS
Deep Learning Traditional Statistical analysis,
Bayesian modeling
Job Type: Full-time
Pay: From $150,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Education:
Bachelor's (Preferred)
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Linux OS: 1 year (Preferred)
Work Location: Remote",Employer Provided Salary:$150K,3.2,-1,Unknown / Non-Applicable,,Company - Private,,
"New Light Technologies, Inc.",Senior Data Scientist- Differential Privacy SME,Remote,"Senior Data Scientist-Differential Privacy SME
Do you like developing innovative data science algorithms, solutions, and applications? Are you interested in advancing the security of big data? New Light Technologies Inc. (NLT), a leading provider of integrated Data Science, Geospatial, Cloud, and Agile Software Engineering services based in Washington DC, is currently seeking a full-time Senior Data Scientist to join a team of talented technology professionals building the nation's most advanced data privacy protection solution!
The candidate will work with a world renowned interdisciplinary team to design, develop, and implement next-generation disclosure avoidance methods to protect private and personally identifiable information (PII) in large public-use datasets. This will involve the development and testing of novel differential privacy and post-processing algorithms that provably safeguard confidentiality in large datasets. This position requires a leader, innovator, and problem-solver with solid data science, statistical, and programming experience. This position also requires experience developing and designing new projects and solutions, coordinating projects between multiple teams with many stakeholders in a pro-active, enthusiastic communication style.
Scope of Work:
Develop, implement, and test new differential privacy and post-processing algorithms and code.
Design, develop and test performance optimization code enhancements.
Develop metrics to evaluate statistical accuracy and code performance.
Develop code/frameworks for running, analyzing, and visualizing statistical results.
Work with DevOps and Application Development teams to productionize and troubleshoot data science code.
Skills & Relevant Experience Requirements:
MS/PhD degree in Computer Science, Statistics, Math, Operations Research, or related field.
U.S. Work Authorization & Ability to pass U.S. government security clearance and background check.
Experience with developing code routines and algorithms that analyze and process and very large data sets
Experience with Differential Privacy protection and related statistical methodologies.
Strong background with Statistics, Optimization Theory, and Data Science.
Experience with Gurobi model development.
Strong skills with Linux and Python programming.
Strong skills managing big data routines and architectures with AWS EMR Clusters, Apache Spark, and PySpark.
Experience with public and non-public, longitudinal and geographic, demographic and economic data.
Excellent analytical and problem-solving skills.
Experience evaluating proposed systems and recommending improvements.
Experience managing, testing, and deploying software components within SLDC.
Experience with GitHub, Subversion, or another source control systems.
Strong oral and written communication skills and ability to work with stakeholders at all levels.
Demonstrated understanding of project management, schedules, and how to estimate the level of effort for development tasks.
Company: New Light Technologies Inc. (NLT) is a leading provider of integrated science, technology, mission, and research services based in Washington DC and an equal opportunity employer. NLT’s culture of innovation and creativity encourages the integration of technologies, approaches, and fields enabling the firm to lead and support a wide range of science, technology, research, and development projects. NLT team members are creative problem-solvers who are committed to exceeding client expectations and who possess an entrepreneurial spirit. NLT offers competitive salaries, excellent health benefits, and a network of like-minded team members that drive innovation. If you are looking to join a dynamic company that promotes a strong work/life balance and leads the industry in providing cutting-edge solutions for the public and private sectors, then NLT is the place for you. To learn more, please visit https://newlighttechnologies.com.
Job Type: Full-time
Pay: $100,000.00 - $260,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Paid time off
Parental leave
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Doctorate (Preferred)
Experience:
Python: 5 years (Required)
Advanced Math: 5 years (Required)
PySpark: 3 years (Required)
Work Location: Remote",Employer Provided Salary:$100K - $260K,5.0,-1,Accounting & Tax,$1 to $5 million (USD),Company - Private,Financial Services,
"Brandt Information Services, LLC",Data Scientist,"Tallahassee, FL","Data Scientist (Quantity 1)
Job # 3420 – Business Intelligence Architect
Scope Variant – C. Advanced
Onsite DOS Tallahassee, FL
This project does not require travel outside of Tallahassee, Florida.
Term: 5/20/2022- 6/30/2023, With possible renewal.
Rate: Pay Based on Experience
W-2 or C2C Applicants Acceptable.
Tasks
The selected candidate will be completing the following tasks:
Follow Department IT processes and coordinate with other Department IT staff to ensure compliance with Department standards.
Participate in the analysis of current system(s) to gain an understanding of inputs and outputs.
Participates in all phases of the development and implementation process and may act as a project manager on special projects.
Establish and manage a formalized solution architecture for data modeling projects.
Provide appropriate documentation for tool decisions, estimating assumptions, and reporting outputs.
Performs initial dataset investigation and exploratory data analysis.
Chooses potential models and algorithms to visualize specific datasets and correlates outliers to real world use cases.
Direct and mentor junior developer team members.
Attend and participate in all project related meetings and assuring meeting notes are produced and distributed, as necessary.
Correspond (verbally and in writing) with project team and internal stakeholders regarding project activities, deliverables, and status.
Serves as senior subject matter expert.
Recommends best practices in data analysis and toolset acquisition.
Follow DOS IT processes and coordinate with other DOS IT staff to ensure compliance with DOS standards.
Develop data analysis baselines/models and discover methodologies to attribute context to outliers.
Ensure the proposed systems and processes are fully compatible and integrated with current Department workflows.
Translate use case scenarios to meaningful and actionable data models.
Design and develop reporting prototypes.
Implementation of reporting deliverables.
Oversee and participate in data analysis sessions.
Produce detailed accounting of hours worked by tasks.
Participate in daily stand-ups.
Required Qualifications:
7 to 10 years of IT work experience with demonstrated knowledge in large and complex database management systems, business intelligence tools and systems.
Proficient with Oracle.
Proficient with Microsoft SQL Server.
Strong communication and validation skills.
Experience with IT systems and processes, methodologies, and their direct implementation to projects.
Experience with defining data analysis processes and enterprise toolset architectures.
Experience working on multiple projects as a project leader or frequently as the subject matter expert.
Goals-oriented proactive team player with the demonstrated ability to multi- task and prioritize in a fast-paced professional environment.
Critical thinker with excellent problem-solving skills that can make independent decisions within area of responsibility and expertise.
Preferred Qualifications:
Knowledge of and experience with State of Florida information technology standards and processes
Experience with Microsoft Word, Excel, and Visio.
Knowledge of PowerPoint and SharePoint.
Brandt Information Services, LLC is an Equal Employment Opportunity (EEO) employer and welcomes all qualified applicants. Applicants will receive fair and impartial consideration without regard to race, sex, color, religion, national origin, age, disability, veteran status, genetic data, or religion or other legally protected status.
Job Types: Full-time, Contract
Pay: $90.00 - $100.00 per hour
Schedule:
Monday to Friday
Ability to commute/relocate:
Tallahassee, FL 32399: Reliably commute or planning to relocate before starting work (Preferred)
Education:
Bachelor's (Preferred)
Experience:
IT Work: 7 years (Preferred)
Oracle: 7 years (Preferred)
Microsoft SQL Server: 7 years (Preferred)
Visio: 1 year (Preferred)
Microsoft Word: 1 year (Preferred)
Microsoft Excel: 1 year (Preferred)
Microsoft Powerpoint: 1 year (Preferred)
Sharepoint: 1 year (Preferred)
Team Foundation Server: 1 year (Preferred)
Work Location: One location",Employer Provided Salary:$90 - $100 Per Hour,-1,-1,,,,,
Navy Federal Credit Union,Data Scientist I,"Vienna, VA","YOUR LIFE'S MISSION: POSSIBLE
You have goals, dreams, hobbies and things you’re passionate about.

What’s Important to You Is Important to Us
We’re looking for people who not only want to do meaningful, challenging work, keep their skills sharp and move ahead, but who also take time for the things that matter to them—friends, family and passions. And we're looking for team members who are passionate about our mission—making a difference in military members' and their families' lives. Together, we can make it happen.

Don’t take our word for it.
Military Times 2021 Best for Vets Employers
WayUp Top 100 Internship Programs
Forbes® 2021 The Best Employers for New Grads
Forbes® America's Best Employers
Newsweek Top 100 Most Loved Workplaces
2021 People Companies that Care
Fortune Best Workplaces for Women
Fortune 100 Best Companies to Work For®
Fortune Best Workplaces for Millennials
Computerworld® Best Places to Work in IT
Basic Purpose
Advanced Analytics Focused

Provide independent data science, machine learning, and analytical insights using member, financial, and organizational data to support mission critical decision making for various areas of the organization. Understand business needs and identify opportunities for new products, services, and process optimization to meet business objectives through the use of cutting-edge data science. Create descriptive, predictive, and prescriptive models and insights to drive impact across the organization. Conduct work assignments of increasing complexity, under moderate supervision with some latitude for independent judgment. Intermediate professional within field; requires moderate skill set and proficiency in discipline.

Model Risk Management

Provide independent effective challenge to the models developed by the organization’s business units. This includes conducting model validation, statistical analyses, building benchmark/challenger models, assessing model risk, assessing model performance, ensuring documentation completeness, and identifying and presenting findings to various stakeholders within the business units. Conduct work assignments of increasing complexity, under moderate supervision with some latitude for independent judgment. Intermediate professional within field; requires moderate skill set and proficiency in discipline.

Responsibilities:

Advanced Analytics Focused

Support the delivery of strategic advanced analytics solutions across the organization with solutions drawing on descriptive, predictive, and prescriptive analytics and modeling
Leverage a broad set of modern technologies – including Python, R, Scala, and Spark – to analyze and gain insights within large data sets
Manage, architect, and analyze big data in order to build data driven insights and high impact data models
Evaluate model design and performance and perform champion/challenger development. Analyze model input data, assumptions, and overall methodology.
Using statistical practices, analyze current and historical data to make predictions, identify risks, and opportunities, enabling better decisions on planned/future events
Provide analytics insights and solutions to solve complex business problems
Apply business knowledge and advanced statistical modeling techniques when building data structures and tools
Collaborate with other team members, subject matter experts, pods, and delivery teams to deliver strategic advanced analytic based solutions from design to deployment
Examine data from multiple sources and share insights with leadership and stakeholders
Transform data presented in models, charts, and tables into a format that is useful to the business and aids in effective decision making
Point of contact between the data analyst/data engineer and the project/functional analytics leads
Develop and maintain an understanding of relevant industry standards, best practices, business processes and technology used in modeling and within the financial services industry
Identify improvements to the way in which analytics service the entire function
Recognize potential issues and risks during the analytics project implementation and suggest mitigation strategies
Prepare project deliverables that are valued by the business and present them in such a manner that they are easily understood by project stakeholders
Perform other duties as assigned

Qualifications and Education Requirements:

All Data Scientist Roles

Master’s degree in Data Science, Statistics, Mathematics, Computer Science, Engineering or another quantitative field, or related field, or the equivalent combination of education, training and experience
Ability to understand complex business problems and determine what aspects require optimization and articulate those aspects in a clear and concise manner
Advanced skill in communicating actionable insights using data to technical and non-technical audiences
Proven experience working in a dynamic, research-oriented groups with several ongoing concurrent projects
Demonstrates functional knowledge of data visualization libraries such as matplotlib or ggplot2; knowledge of other visualization tools such as Microsoft Power BI and Tableau
Ability to manipulate raw data within visualization tools to create effective dashboards that communicate end-to-end data outcomes visually
Proficient in storytelling with data skills
Exceptional technical writing skills

Advanced Analytics Focused

Moderate skill in descriptive, predictive, and prescriptive analytics and modeling; demonstrated success in building models that are deployed and have made measurable business impact
Experience in using two or more of the following modeling types to solve business problems: classification, regression, time series, clustering, text analytics, survival, association, optimization, reinforcement learning
Working knowledge of advanced techniques such as: SMOTE, dimension reduction techniques, natural language processing, sentiment analysis, anomaly detection, geospatial analytics, etc.
Demonstrates a deep understanding of the modeling lifecycle
Moderate skill data mining, data wrangling, and data transformation with both structured and unstructured data; deep understanding of data models
Skill interpreting, extrapolating, and interpolating data for statistical research and modeling
Advanced skill in Data Interpretation, Qualitative and Quantitative Analysis
Advanced skill in Python, R, and/or Scala
Moderate skill in SQL and querying (able to pull/transform your own data)
Knowledge of cloud computing technologies such as: Apache Spark, Azure Data Factory, Azure DevOps, Azure ML (Machine Learning), Hadoop, Microsoft Azure, Databricks, AWS, Google Cloud
Understanding of data models, large datasets, business/technical requirements, BI tools, statistical programming languages and libraries
Familiar with Data Engineering concepts
Familiar with the use of standard ETL tools and techniques
Familiar with the concepts and application of data mapping and building requirements
Demonstrates a deep understanding of multiple data related concepts
Familiar with Data Integration, Data Governance and Data Warehousing
Moderate skill in Data Management, Data Validation & Cleansing and Information Analysis

Model Risk Validation

Proficient in R or Python or Spark to analyze large data sets and develop predictive models

Desired Qualifications and Education Requirements:

All Data Scientist Roles

Doctoral degree in Statistics, Mathematics, Computer Science, Engineering or another quantitative field, or related field, or the equivalent combination of education, training and experience
Knowledge of Navy Federal Credit Union instructions, standards, and procedures
Familiar with project management concepts and frameworks such as Agile Frameworks (SAFE), Communication Strategy and Management, Delivery Excellence and Requirements management
Experience with brand, product, and/or marketing campaigns, including strategy, execution, innovation, and decision-making
Experience with marketing automation

Hours: Monday - Friday, 8:00 am - 4:30 pm

Location: 820 Follin Lane, Vienna, VA 22180

Navy Federal is now hybrid! Our standard enterprise requirement for a hybrid schedule is to report onsite 4-16 days each month. The number of days reporting onsite will ultimately be determined by the employee's leadership and business unit needs. You will learn more throughout the hiring and onboarding process.

The salary range for this position is: $42.00 to $56.50 Hourly Rate
Equal Employment Opportunity
Navy Federal values, celebrates, and enacts diversity in the workplace. Navy Federal takes affirmative action to employ and advance in employment qualified individuals with disabilities, disabled veterans, Armed Forces service medal veterans, recently separated veterans, and other protected veterans. EOE/AA/M/F/Veteran/Disability

COVID-19 Vaccine Information

As a COVID-19 safety measure, our employees must either provide proof of COVID-19 vaccination or follow additional safety protocols, including testing.

Disclaimer

Navy Federal reserves the right to fill this role at a higher/lower grade level based on business need. An assessment may be required to compete for this position.

Bank Secrecy Act

Remains cognizant of and adheres to Navy Federal policies and procedures, and regulations pertaining to the Bank Secrecy Act.

Employee Referrals

This position is eligible for the TalentQuest employee referral program. If an employee referred you for this job, please apply using the system-generated link that was sent to you.",Employer Provided Salary:$42 - $57 Per Hour,4.1,10000+ Employees,Self-employed,Financial Services,1933,Banking & Lending,Unknown / Non-Applicable
KOHLS,"Data Scientist I, Remote","Menomonee Falls, WI","Are you a highly capable, motivated Data Scientist with experience in leveraging machine learning technologies to derive insights from big data? Do you have a passion for solving interesting and meaningful problems using principled techniques and practices? Join our Kohl’s Data Science organization! The biggest and single most important aspect that we look for in aspiring Data Scientists is intellectual curiosity, people who love the joy of discovery. You will work with top-talent and the latest technology which will lead to a unique opportunity to turn insights into products, generating opportunities to grow sales and profitability for the company but also your responsibility and skill set around Data Science applications in retail. You’ll be working within a balanced team alongside engineers, a product manager and designer. In addition, you will be a member of the broader data science organization, and participate in our data science study groups, team activities, and attend conferences.
Develops and executes statistical and mathematical solutions to business problems
Frame problem, determine intended approach and recommend quantitative methods to develop solution
Use analytical rigor and statistical methods to analyze large amounts of data, culling actionable insights using advanced statistical techniques such as predictive statistical models, customer profiling, segmentation analysis, survey design and analysis and data mining
Design experiments to answer targeted questions
Document projects including business objective, data gathering and processing, leading approaches, final algorithm, detailed set of results and analytical metrics
Develops materials to explain project findings to management
Develops new algorithms and mathematical approaches to understand Kohl's audiences and solves complex business problems such as optimizing product performance, revenue and adoption
Identify and drive continuous improvement of key business metrics in assigned business functional area
Drive adoption and usage of analytical products and models
Think in terms of iterative development, document, and communicate throughout products data science lifecycle
Build and validate models
QUALIFICATIONS
Experience developing custom models based on in-depth understanding of underlying data, data structures, and business problems to ensure analytics deliverables meet stakeholders need
Experience developing state of the art algorithms using machine learning, statistical and optimization methods to power various aspects of highly complex business models
Experience using modern analytics tools and languages such as Python, R, Spark, SQL (Big Query), etc.
Strong problem solving skills with an emphasis on product development
Experience proposing rapid experiments to test the effect of new strategies or initiatives, and iterate quickly
The successful candidate must be a U.S. Citizen
REQUIRED
2+ years of progressively complex Data Science or analytics experience
BS in Data Science, Computer Science, Machine Learning, Applied Mathematics, or equivalent quantitative field
Spark, Python, R proficiency
PREFERRED
Master's Degree
Retail experience
Supply chain management
Marketing models
Logistics experience",$69K - $119K (Glassdoor est.),3.4,10000+ Employees,Company - Public,Retail & Wholesale,1962,"Department, Clothing & Shoe Stores",$10+ billion (USD)
PAIIR Solutions,Data Scientist,"Suffern, NY","SR. DATA SCIENTIST
Here's your rare opportunity to join our client's exciting, fast-growing, and dynamic team in Suffern, NY!
About you:
You have 3++ years of solid expertise in developing market forecasting, analysis and campaign reporting.
You have strong experience in R and Python
Java, Alteryx, VBA, SQL, ETL a plus.
You’re well-spoken, and can verbally communicate well with Fortune 500 clients.
Your Excel skills are wizard level.
You don't need micromanagement and work well in team environments
You appreciate the value of excellent analytical, written and oral communication and make it a priority
You enjoy turning data science puzzles into actionable results
You're ready for a real opportunity to grow with a well-established organization that actually cares about its team, its clients and its technology
About our Client:
The trusted one-stop partner for today’s omnichannel retailers. Utilizing proprietary technology to drive customer conversion they help their clients with actionable solutions. With 22 years in the space, they’ve sustained epic growth Y-O-Y even during the pandemic. Here are just a few of the highlights they want you to know:
They’re committed to technology advancement with a talented and balanced team.
Culture matters and it shows their staff stays for a reason.
Long-standing marquee partnerships with glowing testimonials are their hallmark.
No egos hired or tolerated - they celebrate one another's success and play nice in the sandbox.
Opportunity abounds with a focus on individual growth and career advancement.
Their well-established reputation with its employees and clients happens on purpose.
Strong pay plans, benefits and a 401k.
Transparent and accountable management dedicated to your success - integrity counts!
About your role:
You’ll be helping to lead the team in the day-to-day execution and analytics of direct marketing campaigns.
You’ll use your keen eye for detail to refine, gather and scrub data improving accuracy and analysis.
You’ll deal with ambiguity and ad-hoc requests from other departments, remaining flexible and solution-oriented.
You’ll thrive in the further development of your projects, your growth and the organization.
You'll be attentive to details: prove it by including the word ""listen"" in your application or cover letter.
Compensation:
Comp is DOE
Flexible schedule
Full Medical/Dental
401k
Paid Time Off
Work Remotely
No
Job Type: Full-time
Pay: Up to $125,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Life insurance
Paid time off
Relocation assistance
Vision insurance
Schedule:
8 hour shift
COVID-19 considerations:
Employees are vaccinated.
Application Question(s):
How confident are you in your R, Python or Alteryx skills?
Have you received a COVID19 Vaccine?
Education:
Bachelor's (Preferred)
Work Location: One location",Employer Provided Salary:$125K,-1,-1,,,,,
Yaamava Resort & Casino at San Manuel,Data Scientist,"Highland, CA","Under the direction of the Director of Financial Planning & Analysis (FP&A), the Data Scientist is responsible for ensuring the optimization of department processes for data science, data mining, and data engineering. The Data Scientist is also responsible for reviewing, designing, and implementing predictive models, data visualizations, and data mining. This position is accountable for the knowledge and modeling of gaming math, customer dimensions, and reporting on the efficacy of floor optimization, promotional campaigns, and enterprise initiatives.
Essential Duties & Responsibilities
1. Collects data from various sources, organizes and analyzes the results to build intuitive statistical reporting utilizing visualization and business intelligence tools. Provides a clear interpretation and communication of data to aid in decision making. Supports the FP&A mission by providing advanced analytical support and delivering profit driven insights.
2. Collaborates with cross-functional teams within FP&A and across the enterprise to advance the use and application of data science. Drives the adoption of appropriate infrastructure and methodologies to equip the department with the necessary tools to be successful.
3. Utilizes advanced mathematical and statistical concepts and theories to analyze and collect data from disparate sources and construct solutions to enterprise problems.
4. Constructs predictive models and algorithms to support data analysis functions and to optimize gaming and marketing operations (i.e., product mix and placement; database segmentation; churn and uplift models, etc.).
5. Collaborates with senior leadership and Information Technology professionals to build, maintain, and grow the enterprise’s analytics capabilities. Remains up to date on the latest trends and technologies used for data extraction and analysis.
6. Performs other duties as assigned to support the efficient operation of the department.
Education/Experience/Qualifications
Bachelor’s degree in Business, Economics, Finance, Accounting, Mathematics/Statistics, or related field is required.
Master’s degree in a related field is preferred.
Minimum five (5) years of experience in data analytics and/or data science is required.
Equivalent combination of education and progressive, relevant, and direct experience may be considered in lieu of minimum educational/experience requirements indicated above.
Experience in Casino Gaming, Hospitality is preferred.
Advanced proficiency in the Microsoft Office Suite (Word, Excel, Access, and PowerPoint) is required.
Demonstrated experience working with relational databases and enterprise reporting tools is required.
Ability to analyze large quantities of data, generate, and present insights, applying excellent knowledge of SQL, R, Python and Excel.
Demonstrated experience with Business Intelligence (BI) data visualization tools such as Tableau, Power BI is preferred.
Must have experience demonstrating the utmost discretion and confidentiality as team member, as access to confidential information such as Social Security numbers, customer contact information, customer financial data, and organizational financial data.
Certificates/Licenses/Registrations
At the discretion of the San Manuel Tribal Gaming Commission, you may be required to obtain and maintain a gaming license.
A qualified candidate/employee must have a valid driver’s license with an acceptable driving record as determined by the company’s insurance carrier.
Yaamava’ Resort and Casino at San Manuel will make reasonable accommodations in compliance with applicable law.
As one of the largest private employers in the Inland Empire, San Manuel deeply cares about the future, growth and well-being of its employees. Join our team today!
Job Type: Full-time
Education:
Master's (Preferred)
Experience:
data analytics and/or data science: 5 years (Preferred)",$70K - $134K (Glassdoor est.),3.5,1001 to 5000 Employees,Company - Private,"Arts, Entertainment & Recreation",1986,Gambling,$100 to $500 million (USD)
"Vanu, Inc.",Data Scientist,"Lexington, MA","A unique position has arisen for a skilled, enthusiastic, and results-oriented data scientist in the budding global mapping group of a growing telecommunications company located in Lexington, Massachusetts. Vanu Inc is a global leader in providing wireless coverage to the 1.2 billion people worldwide currently unable to connect, with a particular focus on markets in Africa and South East Asia.
As a cartographically oriented data scientist you will help us to develop the technology and insight we need to address growing international interest in and application of our unique industry disrupting network planning and mapping capabilities. You will be an integral member of our analytics department focused both on the formulation of novel applications and the streamlining of existing tech.
The necessary credentials:
-Master’s degree or better in engineering or science-related field
-Python and linux fluency
-Strong Data Science experience
-Demonstrable experience with Geodata and mapping technology (tif, shp, kmz, appropriate python libs, etc)
-Self motivated
As the ideal candidate you’ll:
-Demonstrate focus on accuracy and attention to detail
-Exhibit inspiring organizational skills
-Thrive in a fast-paced environment
-Be comfortable presenting ideas and suggestions clearly and effectively
-Have an interest in technology and a passion for learning new things
And as a plus:
-Experience working in telecom
-Strong familiarity with key standards from ITU, IETF, GSMA, 3GPP and LTE
-Open to the possibility of international travel
Job Type: Full-time
Pay: $100,000.00 - $150,000.00 per year
Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Relocation assistance
Schedule:
Monday to Friday
COVID-19 considerations:
Most all employee are still working remotely due to Covid. For employees that need to go in to work on the hardware equipment, they can go any time. In non-Covid times, WFH policy is quite flexible. However, most employees do go into the office M-F.
Education:
Master's (Preferred)
Experience:
Python: 1 year (Preferred)
SQL: 1 year (Preferred)
Language:
English (Required)
Work Location: One location",Employer Provided Salary:$100K - $150K,-1,-1,,,,,
John Deere,Data Scientist,"Austin, TX","At John Deere, we run so life can leap forward. This powerful purpose is our promise to humankind that we will dream, design and deliver breakthrough products that sustain our world for generations to come. The world is counting on us to feed billions of people and build vital infrastructures in villages, towns, and megacities. We live up to the legacy our founder forged in a one-room blacksmith's shop nearly two centuries ago by creating a culture that brings out the best in all of us. A culture where great ideas thrive because every voice is heard.

Primary Location: United States (US) - Texas - Austin
Function: Data & Analytics (CA)
Title: Data Scientist - 86003
Onsite/Remote: Remote Position

Visa sponsorship is NOT available for this role
Your Responsibilities
As a Data Scientist you will utilize prescriptive and predictive analytics to generate insights that provide value to customers, the channel, and Deere. Specifically, you will build statistical models and algorithms to deeply understand customers and improve their engagement & experience.
In addition, you will:
Apply a variety of data science techniques, both computational and statistically based, including but not limited to machine learning, deep learning, regression, and classification.
Develop applications and/or visualizations to allow business users (e.g. dealers, marketers, customer service professionals) to leverage the insights
Identify and retrieve structured and unstructured data from new, complex, or messy data sources
Explain analytics technique and usage in business terms, communicate value, drive adoption, and inspire action
Lead small analytics projects
Provide technical guidance and/or peer review work performed by other data scientists, including interpretation of results
Work closely with the Data Enablement and ModelOps teams to ensure data is available for research, development, and production.
Support the business transformation of the Enterprise through analytics; support business management in all matters concerning analytical techniques
What Skills You Need
4 or more years of work experience in data science or a related field (candidates with a Master’s Degree; 7 years or more years of experience for candidates with a Bachelor’s Degree)
Proficiency in at least one statistical programming language; R or Python and SQL or SAS
Experience communicating complex, technical information to a non-technical audience
Experience with analytics/bigdata platforms and/or technologies such as DataBricks or Spark.
What Makes You Stand Out
Experience applying statistical analyses and analytical methodologies on advanced analytics projects, being able to demonstrate the development of algorithms and predictive models to solve business issues
Experience with analytics/bigdata platforms and/or technologies such as AWS and Scala
Knowledge of User Experience (UX) and/or design
Proven ability to influence without authority
Education
Ideally you will have a degree or equivalent related work experience in the following:
Master’s Degree in a quantitative field (e.g., statistics, data science, mathematics, economics, computer science) with minimum 4 years of experience required

What You'll Get

At John Deere, you are empowered to create a career that will take you to where you want to go. Here, you'll enjoy the freedom to explore new projects, the support to think outside the box and the advanced tools and technology that foster innovation and achievement. We offer comprehensive relocation and reward packages to help you get started on your new career path. Click here to find out more about our Total Rewards Package.

The information contained herein is not intended to be an exhaustive list of all responsibilities and qualifications required of individuals performing the job. The qualifications detailed in this job description are not considered the minimum requirements necessary to perform the job, but rather as guidelines.

An Equal Opportunity Employer, John Deere requires a diversity of people, perspectives and ideas to address the complex challenges of its global business. John Deere is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to, among other things, race, religion, color, national origin, sex, age, sexual orientation, gender identity, status as a protected veteran, or status as a qualified individual with disability.",$78K - $137K (Glassdoor est.),4.1,10000+ Employees,Company - Public,Manufacturing,1837,Machinery Manufacturing,$10+ billion (USD)
